origin_id,destination_id,entry_cost,network_cost,exit_cost,total_cost
C9,H6,2.0130786,399.4371425,27.5230097,428.9732308
C9,H7,2.0130786,516.1955683,23.1407599,541.3494069
C9,H8,2.0130786,491.9887493,30.5296778,524.5315057
C9,H9,2.0130786,1685.7496480,21.7951881,1709.5579147
C9,H12,2.0130786,1819.2727816,88.3117969,1909.5976571
C9,H10,2.0130786,1715.8768718,68.1306740,1786.0206245
C9,H11,2.0130786,1761.7400109,47.2239548,1810.9770444
C10,H1,7.0650054,582.8920388,17.2361439,607.1931880
C10,H2,7.0650054,600.9488752,32.4179764,640.4318569
C10,H3,7.0650054,607.6817353,15.2977012,630.0444419
C10,H4,7.0650054,575.4050696,49.9992527,632.4693277
C10,H5,7.0650054,212.7432582,33.2086706,253.0169342
C10,H6,7.0650054,132.7701954,27.5230097,167.3582104
C10,H7,7.0650054,249.5286212,23.1407599,279.7343865
C10,H8,7.0650054,225.3218022,30.5296778,262.9164854
C10,H9,7.0650054,1419.0827009,21.7951881,1447.9428943
C10,H12,7.0650054,1552.6058345,88.3117969,1647.9826367
C10,H10,7.0650054,1449.2099247,68.1306740,1524.4056041
C10,H11,7.0650054,1495.0730638,47.2239548,1549.3620240
C11,H1,7.1149775,821.0169225,17.2361439,845.3680439
C11,H2,7.1149775,839.0737589,32.4179764,878.6067128
C11,H3,7.1149775,845.8066190,15.2977012,868.2192977
C11,H4,7.1149775,813.5299533,49.9992527,870.6441836
C11,H5,7.1149775,249.7229597,33.2086706,290.0466079
C11,H6,7.1149775,169.7498969,27.5230097,204.3878841
C11,H7,7.1149775,286.5083227,23.1407599,316.7640601
C11,H8,7.1149775,262.3015036,30.5296778,299.9461590
C11,H9,7.1149775,1180.9578171,21.7951881,1209.8679827
C11,H12,7.1149775,1314.4809507,88.3117969,1409.9077251
C11,H10,7.1149775,1211.0850410,68.1306740,1286.3306925
C11,H11,7.1149775,1256.9481800,47.2239548,1311.2871124
C12,H1,76.3713645,846.7745330,17.2361439,940.3820414
C12,H2,76.3713645,864.8313694,32.4179764,973.6207103
C12,H3,76.3713645,871.5642296,15.2977012,963.2332952
C12,H4,76.3713645,839.2875638,49.9992527,965.6581811
C12,H5,76.3713645,529.8601439,33.2086706,639.4401790
C12,H6,76.3713645,449.8870810,27.5230097,553.7814552
C12,H7,76.3713645,566.6455069,23.1407599,666.1576312
C12,H8,76.3713645,542.4386878,30.5296778,649.3397301
C12,H9,76.3713645,1736.1995865,21.7951881,1834.3661391
C12,H12,76.3713645,1869.7227201,88.3117969,2034.4058814
C12,H10,76.3713645,1766.3268103,68.1306740,1910.8288488
C12,H11,76.3713645,1812.1899494,47.2239548,1935.7852687
C13,H1,3.4124554,798.3064976,17.2361439,818.9550969
C13,H2,3.4124554,816.3633340,32.4179764,852.1937658
C13,H3,3.4124554,823.0961942,15.2977012,841.8063507
C13,H4,3.4124554,790.8195285,49.9992527,844.2312366
C13,H5,3.4124554,2.6712006,33.2086706,39.2923267
C13,H6,3.4124554,82.6442635,27.5230097,113.5797286
C13,H7,3.4124554,34.1141624,23.1407599,60.6673777
C13,H8,3.4124554,9.9073433,30.5296778,43.8494765
C13,H9,3.4124554,1433.3519775,21.7951881,1458.5596209
C13,H12,3.4124554,1566.8751111,88.3117969,1658.5993633
C13,H10,3.4124554,1463.4792013,68.1306740,1535.0223307
C13,H11,3.4124554,1509.3423404,47.2239548,1559.9787506
C14,H1,0.2462313,964.0039295,17.2361439,981.4863047
C14,H2,0.2462313,982.0607659,32.4179764,1014.7249736
C14,H3,0.2462313,988.7936260,15.2977012,1004.3375585
C14,H4,0.2462313,956.5169603,49.9992527,1006.7624444
C14,H5,0.2462313,392.7099667,33.2086706,426.1648687
C14,H6,0.2462313,312.7369038,27.5230097,340.5061449
C14,H7,0.2462313,429.4953297,23.1407599,452.8823209
C14,H8,0.2462313,405.2885106,30.5296778,436.0644198
C14,H9,0.2462313,1037.9708102,21.7951881,1060.0122296
C14,H12,0.2462313,1171.4939438,88.3117969,1260.0519720
C14,H10,0.2462313,1068.0980340,68.1306740,1136.4749394
C14,H11,0.2462313,1113.9611731,47.2239548,1161.4313592
C15,H1,4.3489626,1038.6603088,17.2361439,1060.2454153
C15,H2,4.3489626,1056.7171452,32.4179764,1093.4840842
C15,H3,4.3489626,1063.4500054,15.2977012,1083.0966692
C15,H4,4.3489626,1031.1733397,49.9992527,1085.5215550
C15,H5,4.3489626,1578.4617311,33.2086706,1616.0193644
C15,H6,4.3489626,1498.4886682,27.5230097,1530.3606406
C15,H7,4.3489626,1615.2470941,23.1407599,1642.7368166
C15,H8,4.3489626,1591.0402750,30.5296778,1625.9189155
C15,H9,4.3489626,1188.2701743,21.7951881,1214.4143250
C15,H12,4.3489626,1321.7933079,88.3117969,1414.4540674
C15,H10,4.3489626,1218.3973982,68.1306740,1290.8770348
C15,H11,4.3489626,1264.2605372,47.2239548,1315.8334547
C16,H1,7.3141947,1307.4916189,17.2361439,1332.0419575
C16,H2,7.3141947,1325.5484553,32.4179764,1365.2806264
C16,H3,7.3141947,1332.2813154,15.2977012,1354.8932113
C16,H4,7.3141947,1300.0046497,49.9992527,1357.3180972
C16,H5,7.3141947,1847.2930411,33.2086706,1887.8159065
C16,H6,7.3141947,1767.3199783,27.5230097,1802.1571827
C16,H7,7.3141947,1884.0784041,23.1407599,1914.5333587
C16,H8,7.3141947,1859.8715851,30.5296778,1897.7154576
C16,H9,7.3141947,1457.1014844,21.7951881,1486.2108671
C16,H12,7.3141947,1590.6246180,88.3117969,1686.2506095
C16,H10,7.3141947,1487.2287082,68.1306740,1562.6735769
C16,H11,7.3141947,1533.0918473,47.2239548,1587.6299968
C17,H1,2.3802008,1639.2569397,17.2361439,1658.8732844
C17,H2,2.3802008,1657.3137761,32.4179764,1692.1119532
C17,H3,2.3802008,1664.0466363,15.2977012,1681.7245382
C17,H4,2.3802008,1631.7699706,49.9992527,1684.1494240
C17,H5,2.3802008,1067.9629769,33.2086706,1103.5518483
C17,H6,2.3802008,987.9899141,27.5230097,1017.8931245
C17,H7,2.3802008,1104.7483399,23.1407599,1130.2693006
C17,H8,2.3802008,1080.5415209,30.5296778,1113.4513994
C17,H9,2.3802008,613.3926816,21.7951881,637.5680704
C17,H12,2.3802008,746.9158152,88.3117969,837.6078128
C17,H10,2.3802008,643.5199054,68.1306740,714.0307802
C17,H11,2.3802008,689.3830445,47.2239548,738.9872001
C18,H1,1.9711429,1783.1422215,17.2361439,1802.3495083
C18,H2,1.9711429,1801.1990579,32.4179764,1835.5881772
C18,H3,1.9711429,1807.9319181,15.2977012,1825.2007621
C18,H4,1.9711429,1775.6552524,49.9992527,1827.6256479
C18,H5,1.9711429,1211.8482587,33.2086706,1247.0280723
C18,H6,1.9711429,1131.8751959,27.5230097,1161.3693484
C18,H7,1.9711429,1248.6336217,23.1407599,1273.7455245
C18,H8,1.9711429,1224.4268027,30.5296778,1256.9276234
C18,H9,1.9711429,757.2779634,21.7951881,781.0442943
C18,H12,1.9711429,707.6557371,88.3117969,797.9386769
C18,H10,1.9711429,787.4051872,68.1306740,857.5070041
C18,H11,1.9711429,765.1885078,47.2239548,814.3836055
C19,H1,7.3813309,2051.4895967,17.2361439,2076.1070714
C19,H2,7.3813309,2069.5464331,32.4179764,2109.3457403
C19,H3,7.3813309,2076.2792932,15.2977012,2098.9583253
C19,H4,7.3813309,2044.0026275,49.9992527,2101.3832111
C19,H5,7.3813309,1480.1956339,33.2086706,1520.7856354
C19,H6,7.3813309,1400.2225711,27.5230097,1435.1269116
C19,H7,7.3813309,1516.9809969,23.1407599,1547.5030876
C19,H8,7.3813309,1492.7741778,30.5296778,1530.6851865
C19,H9,7.3813309,649.1206877,21.7951881,678.2972066
C19,H12,7.3813309,515.5975541,88.3117969,611.2906818
C19,H10,7.3813309,618.9934639,68.1306740,694.5054687
C19,H11,7.3813309,573.1303248,47.2239548,627.7356105
C20,H1,3.5373659,1822.7402369,17.2361439,1843.5137467
C20,H2,3.5373659,1840.7970733,32.4179764,1876.7524156
C20,H3,3.5373659,1847.5299334,15.2977012,1866.3650005
C20,H4,3.5373659,1815.2532677,49.9992527,1868.7898864
C20,H5,3.5373659,1566.7173339,33.2086706,1603.4633704
C20,H6,3.5373659,1486.7442710,27.5230097,1517.8046466
C20,H7,3.5373659,1603.5026969,23.1407599,1630.1808226
C20,H8,3.5373659,1579.2958778,30.5296778,1613.3629215
C20,H9,3.5373659,249.4679429,21.7951881,274.8004968
C20,H12,3.5373659,382.9910765,88.3117969,474.8402392
C20,H10,3.5373659,279.5951667,68.1306740,351.2632066
C20,H11,3.5373659,325.4583058,47.2239548,376.2196265
C7,H1,4.1537960,1724.3281741,17.2361439,1745.7181140
C7,H2,4.1537960,1742.3850104,32.4179764,1778.9567829
C7,H3,4.1537960,1749.1178706,15.2977012,1768.5693678
C7,H4,4.1537960,1716.8412049,49.9992527,1770.9942536
C7,H5,4.1537960,1468.3052710,33.2086706,1505.6677377
C7,H6,4.1537960,1388.3322081,27.5230097,1420.0090139
C7,H7,4.1537960,1505.0906340,23.1407599,1532.3851899
C7,H8,4.1537960,1480.8838149,30.5296778,1515.5672888
C7,H9,4.1537960,37.6244941,21.7951881,63.5734783
C7,H12,4.1537960,95.8986395,88.3117969,188.3642323
C7,H10,4.1537960,7.4972703,68.1306740,79.7817404
C7,H11,4.1537960,38.3658688,47.2239548,89.7436196
C21,H1,6.2726220,1151.5256765,17.2361439,1175.0344424
C21,H2,6.2726220,1169.5825129,32.4179764,1208.2731113
C21,H3,6.2726220,1176.3153730,15.2977012,1197.8856963
C21,H4,6.2726220,1144.0387073,49.9992527,1200.3105821
C21,H5,6.2726220,1691.3270988,33.2086706,1730.8083915
C21,H6,6.2726220,1611.3540359,27.5230097,1645.1496676
C21,H7,6.2726220,1728.1124618,23.1407599,1757.5258437
C21,H8,6.2726220,1703.9056427,30.5296778,1740.7079426
C21,H9,6.2726220,1301.1355420,21.7951881,1329.2033521
C21,H12,6.2726220,1434.6586756,88.3117969,1529.2430945
C21,H10,6.2726220,1331.2627658,68.1306740,1405.6660619
C21,H11,6.2726220,1377.1259049,47.2239548,1430.6224818
C22,H1,12.0613589,1997.5980306,17.2361439,2026.8955334
C22,H2,12.0613589,2015.6548670,32.4179764,2060.1342023
C22,H3,12.0613589,2022.3877271,15.2977012,2049.7467872
C22,H4,12.0613589,1990.1110614,49.9992527,2052.1716731
C22,H5,12.0613589,1741.5751275,33.2086706,1786.8451571
C22,H6,12.0613589,1661.6020647,27.5230097,1701.1864333
C22,H7,12.0613589,1778.3604905,23.1407599,1813.5626093
C22,H8,12.0613589,1754.1536715,30.5296778,1796.7447082
C22,H9,12.0613589,310.8943507,21.7951881,344.7508977
C22,H12,12.0613589,177.3712171,88.3117969,277.7443729
C22,H10,12.0613589,280.7671268,68.1306740,360.9591598
C22,H11,12.0613589,234.9039878,47.2239548,294.1893015
C23,H1,2.3612348,1632.7920821,17.2361439,1652.3894608
C23,H2,2.3612348,1650.8489185,32.4179764,1685.6281297
C23,H3,2.3612348,1657.5817787,15.2977012,1675.2407146
C23,H4,2.3612348,1625.3051130,49.9992527,1677.6656005
C23,H5,2.3612348,1376.7691791,33.2086706,1412.3390845
C23,H6,2.3612348,1296.7961162,27.5230097,1326.6803607
C23,H7,2.3612348,1413.5545421,23.1407599,1439.0565367
C23,H8,2.3612348,1389.3477230,30.5296778,1422.2386356
C23,H9,2.3612348,59.5197881,21.7951881,83.6762109
C23,H12,2.3612348,193.0429217,88.3117969,283.7159533
C23,H10,2.3612348,89.6470119,68.1306740,160.1389207
C23,H11,2.3612348,135.5101510,47.2239548,185.0953406
C24,H1,1.7147372,1961.6504307,17.2361439,1980.6013118
C24,H2,1.7147372,1979.7072671,32.4179764,2013.8399807
C24,H3,1.7147372,1986.4401272,15.2977012,2003.4525656
C24,H4,1.7147372,1954.1634615,49.9992527,2005.8774514
C24,H5,1.7147372,1390.3564679,33.2086706,1425.2798757
C24,H6,1.7147372,1310.3834050,27.5230097,1339.6211519
C24,H7,1.7147372,1427.1418309,23.1407599,1451.9973280
C24,H8,1.7147372,1402.9350118,30.5296778,1435.1794269
C24,H9,1.7147372,668.0947810,21.7951881,691.6047062
C24,H12,1.7147372,534.5716474,88.3117969,624.5981814
C24,H10,1.7147372,637.9675571,68.1306740,707.8129683
C24,H11,1.7147372,592.1044181,47.2239548,641.0431101
C25,H1,0.5754029,603.8508683,17.2361439,621.6624151
C25,H2,0.5754029,621.9077047,32.4179764,654.9010840
C25,H3,0.5754029,628.6405648,15.2977012,644.5136689
C25,H4,0.5754029,596.3638991,49.9992527,646.9385547
C25,H5,0.5754029,1143.6522905,33.2086706,1177.4363641
C25,H6,0.5754029,1063.6792277,27.5230097,1091.7776403
